Nama Jurnal,ISSN,SJR,H-Index,Bidang Ilmu,Quartil
Annual Review of Financial Economics,19411367,6.062,49,Economics and Econometrics,Q1
Journal of Service Research,10946705,6.011,156,Information Systems,Q1
Chem,24519308,6.01,167,Biochemistry,Q1
Nature Water,27316084,5.962,27,Environmental Engineering,Q1
Science Robotics,24709476,5.94,122,Artificial Intelligence,Q1
JAMA Cardiology,23806583,5.936,127,Cardiology and Cardiovascular Medicine,Q1
Cellular and Molecular Immunology,20420226,5.916,135,Immunology,Q1
Annual Review of Earth and Planetary Sciences,00846597,5.885,187,Astronomy and Astrophysics,Q1
Nature Machine Intelligence,25225839,5.876,94,Artificial Intelligence,Q1
The Lancet Global Health,2572116X,5.87,153,Medicine,Q1
Nature Protocols,17502799,5.854,320,"Biochemistry, Genetics and Molecular Biology",Q1
Psychological Science in the Public Interest,21600031,5.852,62,Psychology,Q1
Progress in Retinal and Eye Research,13509462,5.838,200,Ophthalmology,Q1
Journal of Experimental Medicine,00221007,5.834,503,Immunology,Q1
Nature Reviews Neurology,17594766,5.828,225,Cellular and Molecular Neuroscience,Q1
Blood,15280020,5.823,540,Biochemistry,Q1
Review of Accounting Studies,15737136,5.817,107,Accounting,Q1
Cement and Concrete Research,00088846,5.815,315,Building and Construction,Q1
ACM Computing Surveys,03600300,5.797,232,Computer Science,Q1
Educational Psychologist,15326985,5.794,163,Developmental and Educational Psychology,Q1
Energy Storage Materials,24058297,5.791,185,Energy Engineering and Power Technology,Q1
JAMA Psychiatry,21686238,5.755,417,Medicine,Q1
Materials Today,13697021,5.755,244,Condensed Matter Physics,Q1
Physics Reports,03701573,5.735,328,Physics and Astronomy,Q1
Annals of the Rheumatic Diseases,00034967,5.731,300,"Biochemistry, Genetics and Molecular Biology",Q1
Management Science,00251909,5.72,303,Management Science and Operations Research,Q1
Genome Biology,1474760X,5.71,319,Cell Biology,Q1
Journal of the National Cancer Institute,14602105,5.703,394,Cancer Research,Q1
Carbon Energy,26379368,5.701,73,Energy,Q1
Annual Review of Environment and Resources,15452050,5.7,156,Environmental Science,Q1
InfoMat,25673165,5.683,86,"Electronic, Optical and Magnetic Materials",Q1
Reports on Progress in Physics,13616633,5.666,259,Medicine,Q1
National Center for Health Statistics Data Brief,19414927,5.63,99,Medicine,Q1
Clinical Microbiology Reviews,08938512,5.594,340,Epidemiology,Q1
International Journal of Machine Tools and Manufacture,08906955,5.577,203,Industrial and Manufacturing Engineering,Q1
European Journal of Heart Failure,13889842,5.559,185,Cardiology and Cardiovascular Medicine,Q1
Hepatology,02709139,5.557,415,Hepatology,Q1
Journal of the American Chemical Society,15205126,5.554,734,Biochemistry,Q1
Angewandte Chemie - International Edition,14337851,5.55,667,Catalysis,Q1
Nature Human Behaviour,23973374,5.537,113,Behavioral Neuroscience,Q1
American Political Science Review,15375943,5.532,215,Political Science and International Relations,Q1
Nature Chemical Biology,15524469,5.521,272,Cell Biology,Q1
Molecular Plant,16742052,5.519,178,Molecular Biology,Q1
JNCCN Journal of the National Comprehensive Cancer Network,15401413,5.514,162,Medicine,Q1
Nature Reviews Rheumatology,17594790,5.507,198,Rheumatology,Q1
Personality and Social Psychology Review,10888683,5.493,194,Social Psychology,Q1
Molecular Neurodegeneration,17501326,5.488,126,Cellular and Molecular Neuroscience,Q1
Journal of Management Studies,00222380,5.465,233,Business and International Management,Q1
Trends in Cell Biology,09628924,5.455,271,Cell Biology,Q1
The Lancet Infectious Diseases,14744457,5.446,304,Infectious Diseases,Q1
Advanced Functional Materials,1616301X,5.439,428,Biomaterials,Q1
Accounts of Chemical Research,00014842,5.433,472,Chemistry,Q1
JACC: Cardiovascular Imaging,1936878X,5.426,169,Cardiology and Cardiovascular Medicine,Q1
Personnel Psychology,00315826,5.414,175,Applied Psychology,Q1
Nature Synthesis,27310582,5.403,41,Chemistry,Q1
Leadership Quarterly,10489843,5.393,202,Applied Psychology,Q1
Perspectives on Psychological Science,17456916,5.393,196,Psychology,Q1
Protein and Cell,16748018,5.392,104,Biochemistry,Q1
Economic Journal,14680297,5.371,194,Economics and Econometrics,Q1
Human Reproduction Update,14602369,5.357,227,Obstetrics and Gynecology,Q1
JAMA,15383598,5.352,794,Medicine,Q1
PRX Quantum,26913399,5.341,62,Applied Mathematics,Q1
GigaScience,2047217X,5.314,98,Computer Science Applications,Q1
Drug Resistance Updates,13687646,5.282,139,Cancer Research,Q1
American Journal of Psychiatry,0002953X,5.27,405,Psychiatry and Mental Health,Q1
Annual Review of Sociology,03600572,5.262,216,Sociology and Political Science,Q1
The Lancet Microbe,26665247,5.262,53,Infectious Diseases,Q1
American Economic Journal: Microeconomics,19457669,5.225,58,"Economics, Econometrics and Finance",Q1
JACC: Heart Failure,22131787,5.218,118,Cardiology and Cardiovascular Medicine,Q1
Computers and Education: Artificial Intelligence,2666920X,5.217,51,Artificial Intelligence,Q1
"Annual Review of Ecology, Evolution, and Systematics",1543592X,5.214,254,Ecology,Q1
Strategic Organization,1741315X,5.21,80,Business and International Management,Q1
EnergyChem,25897780,5.185,50,Biomaterials,Q1
Applied Catalysis B: Environmental,18733883,5.18,353,Catalysis,Q1
Developmental Cell,15345807,5.18,306,"Biochemistry, Genetics and Molecular Biology",Q1
The Lancet Healthy Longevity,26667568,5.166,43,Family Practice,Q1
Annual Review of Biophysics,19361238,5.152,178,Biochemistry,Q1
Blood Cancer Journal,20445385,5.139,85,Hematology,Q1
Nature Geoscience,17520908,5.138,280,Earth and Planetary Sciences,Q1
Advanced Powder Materials,2772834X,5.1,40,Catalysis,Q1
JAMA Pediatrics,21686211,5.085,231,"Pediatrics, Perinatology and Child Health",Q1
Genome Medicine,1756994X,5.078,133,Genetics,Q1
Journal of International Business Studies,00472506,5.078,242,Business and International Management,Q1
American Journal of Respiratory and Critical Care Medicine,1073449X,5.076,436,Critical Care and Intensive Care Medicine,Q1
Academy of Management Perspectives,15589080,5.063,165,Business and International Management,Q1
Organization Studies,17413044,5.032,187,Management of Technology and Innovation,Q1
Light: Science and Applications,20477538,5.018,174,"Atomic and Molecular Physics, and Optics",Q1
Intensive Care Medicine,14321238,4.999,246,Critical Care and Intensive Care Medicine,Q1
European Heart Journal,15229645,4.987,367,Cardiology and Cardiovascular Medicine,Q1
International Organization,15315088,4.977,168,Law,Q1
Cell Systems,24054720,4.943,98,Cell Biology,Q1
The Lancet Haematology,23523026,4.936,103,Hematology,Q1
Psychological Methods,1082989X,4.925,195,History and Philosophy of Science,Q1
Psychotherapy and Psychosomatics,00333190,4.904,123,Applied Psychology,Q1
Circulation Research,00097330,4.897,402,Cardiology and Cardiovascular Medicine,Q1
Trends in Ecology and Evolution,01695347,4.876,396,"Ecology, Evolution, Behavior and Systematics",Q1
Cell Death and Differentiation,13509047,4.866,271,Cell Biology,Q1
Information Systems Research,15265536,4.85,192,Computer Networks and Communications,Q1
Health Psychology Review,17437202,4.838,81,Clinical Psychology,Q1
EMBO Journal,02614189,4.821,441,"Biochemistry, Genetics and Molecular Biology",Q1
Nature Plants,2055026X,4.815,148,Plant Science,Q1
Matter,25902393,4.804,111,Materials Science,Q1
Clinical Cancer Research,10780432,4.8,392,Cancer Research,Q1
Molecular Systems Biology,17444292,4.783,178,Agricultural and Biological Sciences,Q1
Advanced Photonics,25775421,4.777,55,"Atomic and Molecular Physics, and Optics",Q1
Annals of Statistics,00905364,4.769,202,Statistics and Probability,Q1
Nature Communications,20411723,4.761,577,"Biochemistry, Genetics and Molecular Biology",Q1
Critical Finance Review,21645760,4.754,14,Finance,Q1
Trends in Cancer,24058033,4.727,101,Cancer Research,Q1
Trends in Neurosciences,01662236,4.726,326,Neuroscience,Q1
British Journal of Sports Medicine,03063674,4.724,241,Medicine,Q1
Journal of Clinical Investigation,00219738,4.721,558,Medicine,Q1
Brain,14602156,4.72,391,Medicine,Q1
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,10636919,4.718,601,Computer Vision and Pattern Recognition,-
Review of Educational Research,00346543,4.7,198,Education,Q1
Biological Psychiatry,00063223,4.684,367,Biological Psychiatry,Q1
Protein Science,1469896X,4.657,204,Biochemistry,Q1
Annual Review of Entomology,00664170,4.655,239,"Ecology, Evolution, Behavior and Systematics",Q1
Coordination Chemistry Reviews,00108545,4.638,329,Inorganic Chemistry,Q1
JAMA Internal Medicine,21686114,4.623,403,Internal Medicine,Q1
Review of Asset Pricing Studies,20459920,4.621,33,Economics and Econometrics,Q1
IEEE Transactions on Smart Grid,19493053,4.608,253,Computer Science,Q1
Global Change Biology,13652486,4.6,332,Ecology,Q1
Nano Energy,22112855,4.566,277,Electrical and Electronic Engineering,Q1
Journal of Supply Chain Management,15232409,4.562,119,"Economics, Econometrics and Finance",Q1
Ophthalmology,15494713,4.552,297,Ophthalmology,Q1
Journal of Consumer Psychology,15327663,4.547,147,Applied Psychology,Q1
European Review of Social Psychology,10463283,4.544,81,Social Psychology,Q1
American Journal of Human Genetics,15376605,4.531,339,Genetics,Q1
Journal of Extracellular Vesicles,20013078,4.524,126,Cell Biology,Q1
Journal of Operations Management,18731317,4.52,228,Computer Science Applications,Q1
PhotoniX,26621991,4.514,41,"Atomic and Molecular Physics, and Optics",Q1
The Lancet HIV,23523018,4.506,91,Epidemiology,Q1
Trends in Cognitive Sciences,1879307X,4.506,375,Cognitive Neuroscience,Q1
Annual Review of Microbiology,00664227,4.505,220,Medicine,Q1
European Respiratory Journal,09031936,4.502,299,Medicine,Q1
Wiley Interdisciplinary Reviews: Computational Molecular Science,17590876,4.501,116,Biochemistry,Q1
ACS Nano,1936086X,4.497,504,Engineering,Q1
Implementation Science,17485908,4.491,157,Health Informatics,Q1
Manufacturing and Service Operations Management,15265498,4.486,116,Management Science and Operations Research,Q1
MIS Quarterly: Management Information Systems,02767783,4.486,283,Computer Science Applications,Q1
Acta Neuropathologica,00016322,4.483,227,Cellular and Molecular Neuroscience,Q1
Advances in Physics,14606976,4.468,127,Condensed Matter Physics,Q1
Health Affairs,02782715,4.465,224,Health Policy,Q1
Journal of Financial and Quantitative Analysis,00221090,4.465,156,Accounting,Q1
Journal of Advertising,15577805,4.455,140,Business and International Management,Q1
IEEE Transactions on Wireless Communications,15361276,4.454,264,Applied Mathematics,Q1
IEEE Transactions on Cybernetics,21682275,4.45,208,Computer Science Applications,Q1
Autophagy,15548635,4.447,202,Cell Biology,Q1
Cement and Concrete Composites,09589465,4.446,233,Building and Construction,Q1
Quantitative Economics,17597323,4.438,39,Economics and Econometrics,Q1
Annual Review of Nutrition,01999885,4.435,184,Medicine,Q1
Progress in Particle and Nuclear Physics,01466410,4.428,139,Nuclear and High Energy Physics,Q1
IEEE Wireless Communications,15361284,4.406,198,Computer Science Applications,Q1
Educational Psychology Review,1040726X,4.384,156,Developmental and Educational Psychology,Q1
Biological Reviews,1469185X,4.383,211,Agricultural and Biological Sciences,Q1
Current Climate Change Reports,21986061,4.363,62,Atmospheric Science,Q1
Accounts of Materials Research,26436728,4.358,51,Chemical Engineering,Q1
Nature Ecology and Evolution,2397334X,4.357,140,Ecology,Q1
Political Analysis,10471987,4.353,89,Political Science and International Relations,Q1
Science Advances,23752548,4.324,288,Multidisciplinary,Q1
Journal of International Economics,18730353,4.321,171,Economics and Econometrics,Q1
Blood Cancer Discovery,26433230,4.316,32,"Biochemistry, Genetics and Molecular Biology",Q1
Periodontology 2000,09066713,4.316,161,Periodontics,Q1
Journal of World Business,10909516,4.297,149,Business and International Management,Q1
The Lancet Child and Adolescent Health,23524642,4.289,81,Developmental and Educational Psychology,Q1
Annual Review of Genomics and Human Genetics,15278204,4.28,134,Genetics,Q1
PLoS Medicine,15491277,4.279,289,Biochemistry,Q1
IEEE Transactions on Sustainable Energy,19493029,4.261,179,"Renewable Energy, Sustainability and the Environment",Q1
Exploration,27662098,4.231,42,Multidisciplinary,Q1
Journal for ImmunoTherapy of Cancer,20511426,4.22,136,Cancer Research,Q1
Ageing Research Reviews,15681637,4.216,181,Aging,Q1
Sleep Medicine Reviews,15322955,4.209,192,Neurology,Q1
Military Medical Research,20549369,4.206,53,Medicine,Q1
Journal of Retailing,00224359,4.204,168,Marketing,Q1
American Sociological Review,00031224,4.203,240,Sociology and Political Science,Q1
Cancer Treatment Reviews,03057372,4.183,172,Medicine,Q1
RAND Journal of Economics,17562171,4.173,131,Economics and Econometrics,Q1
Journal of Business and Economic Statistics,07350015,4.171,122,Economics and Econometrics,Q1
Comparative Political Studies,15523829,4.169,134,Sociology and Political Science,Q1
npj Digital Medicine,23986352,4.164,104,Computer Science Applications,Q1
Environmental Science and Ecotechnology,26664984,4.161,44,Ecology,Q1
Trends in Biochemical Sciences,13624326,4.158,309,Biochemistry,Q1
Human Relations,00187267,4.148,171,Arts and Humanities,Q1
Tourism Management,02615177,4.146,278,Development,Q1
Kidney International,00852538,4.13,330,Nephrology,Q1
Information Fusion,18726305,4.128,179,Hardware and Architecture,Q1
JAMA Surgery,21686262,4.125,214,Surgery,Q1
Review of Corporate Finance Studies,20469136,4.122,28,Business and International Management,Q1
IEEE Journal on Selected Topics in Signal Processing,19324553,4.12,152,Electrical and Electronic Engineering,Q1
Microbiome,20492618,4.117,163,Microbiology,Q1
"Forum of Mathematics, Pi",20505086,4.116,23,Algebra and Number Theory,Q1
Journal of the American Statistical Association,01621459,4.103,227,Statistics and Probability,Q1
Nature Cardiovascular Research,27310590,4.096,26,"Biochemistry, Genetics and Molecular Biology",Q1
Journal of Public Economics,00472727,4.092,184,Economics and Econometrics,Q1
Progress in Lipid Research,18732194,4.091,178,Biochemistry,Q1
The Lancet Regional Health - Europe,26667762,4.088,55,Health Policy,Q1
Molecular Biology and Evolution,15371719,4.085,256,"Ecology, Evolution, Behavior and Systematics",Q1
Bioactive Materials,2452199X,4.075,119,Biomaterials,Q1
